Date,Open,High,Low,Close,Volume,Change,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-20,92300,92800,90900,91200,710012,-0.003278688524590123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21,92700,92700,90900,91200,748573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-22,90500,91100,88400,89200,1103198,-0.021929824561403466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-159.54415954415163,-31.908831908830326,-127.6353276353213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021929824561403466,0.0
2025-05-23,89200,89500,86900,87100,879529,-0.023542600896861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.2463454030367,-115.57633460767161,-334.6700107953651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023542600896861,0.0
2025-05-26,87000,88400,86200,88100,760388,0.01148105625717566,89360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-593.1013759716443,-211.08134288046617,-382.0200330911781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01148105625717566,0.0
2025-05-27,87300,88500,87100,88200,607447,0.0011350737797957144,88760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-690.28863495306,-306.92280129498494,-383.365833658075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011350737797957144,0.0
2025-05-28,88500,90000,88500,89000,842967,0.009070294784580435,88320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-694.7482978592889,-384.48790060784575,-310.2603972514431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009070294784580435,0.0
2025-05-29,90700,93700,90000,93200,1583303,0.04719101123595504,89120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-355.28224118625803,-378.6467687235282,23.36452753727019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04719101123595504,0.0
2025-05-30,91000,91200,89400,89400,1535385,-0.04077253218884125,89580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-388.4039091354789,-380.5981968059184,-7.805712329560492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04077253218884125,0.0
2025-06-02,88400,89600,88100,88400,663587,-0.01118568232662187,89640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-489.69975827934104,-402.41850910060293,-87.28124917873811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01118568232662187,0.0
2025-06-04,89200,90400,88600,89600,862750,0.013574660633484115,89920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-467.75548329768935,-415.4859039400202,-52.26957935766916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013574660633484115,0.0
2025-06-05,89100,93500,89100,93100,1416289,0.0390625,90740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.0298492431466,-365.59469300064546,199.56484375749886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.0
2025-06-09,94400,96200,93800,95300,1449046,0.023630504833512367,91160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.755531845105,-242.9246480314954,490.6801798766004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023630504833512367,0.0
2025-06-10,96200,96400,94100,94500,1077370,-0.008394543546694666,92180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.30526880205434,-93.27866466478547,598.5839334668398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008394543546694666,0.0
2025-06-11,95100,96900,95100,96900,992153,0.025396825396825307,93880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.35458167330677,892.7837775996304,103.93382378809773,788.8499538115327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025396825396825307,0.0
2025-06-12,96900,99000,96800,98400,1768683,0.015479876160990669,95640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.53383458646616,1305.8477514142578,344.31660931332976,961.531142100928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015479876160990669,0.0
2025-06-13,98000,98100,95600,97200,1506724,-0.012195121951219523,96460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.50387596899225,1518.8654203412152,579.226371518907,939.6390488223083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012195121951219523,0.0
2025-06-16,96500,97900,95100,97500,809768,0.0030864197530864335,96900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.66666666666667,1692.3822216903645,801.8575415531985,890.524680137166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030864197530864335,0.0
2025-06-17,98000,99800,97800,99600,1332802,0.021538461538461506,97920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.90836653386454,1976.5633940101688,1036.7987120445928,939.7646819655761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021538461538461506,0.0
2025-06-18,98500,99400,97200,98900,1018716,-0.007028112449799173,98320.0,92800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8171206225681,2120.8470658389706,1253.6083828034684,867.2386830355022,92800.0,101158.7961863064,84441.2038136936,16717.592372612795,0.8648850781882382,1083434.5,0.9402654244442096,-0.007028112449799173,0.0
2025-06-19,99400,99800,97500,98200,691399,-0.00707785642062686,98280.0,93150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.96875,2153.880175495855,1433.6627413419458,720.2174341539092,93150.0,101807.57958153007,84492.42041846993,17315.159163060132,0.7916519537847222,1082503.85,0.6387035020706854,-0.00707785642062686,0.343612508510645
2025-06-20,98000,98900,97200,98700,998377,0.005091649694501044,98580.0,93525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.55707762557078,2195.101213825372,1585.9504358386312,609.1507779867406,93525.0,102471.83125322503,84578.16874677497,17893.662506450055,0.7892085395113779,1094994.05,0.9117647716898553,0.005091649694501044,0.3433161090640939
2025-06-23,97000,97000,94400,95900,867116,-0.028368794326241176,98260.0,93860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.55023923444976,1979.0196773162897,1664.5642841341628,314.45539318212695,93860.0,102624.85806172041,85095.14193827959,17529.716123440827,0.6163738183570492,1083189.95,0.8005207212271496,-0.028368794326241176,0.3504968872363893
2025-06-24,95700,98500,95700,96900,911752,0.010427528675703845,97720.0,94350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.33492822966508,1866.9441751816485,1705.04026234366,161.9039128379884,94350.0,102604.5043524892,86095.4956475108,16509.00870497839,0.6544611215348726,1084801.1,0.8404784987773334,0.010427528675703845,0.3357033655611679
2025-06-25,97500,104500,97000,101100,2778238,0.04334365325077405,98160.0,95000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.05857740585773,2092.9027512849134,1782.6127601319108,310.2899911530026,95000.0,103229.5999774882,86770.4000225118,16459.199954976386,0.8706133965615747,1185693.6,2.3431331669497077,0.04334365325077405,0.3612415342975772
2025-06-26,100700,102500,98700,99100,1157512,-0.01978239366963408,98340.0,95545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.392857142857146,2086.5409205819305,1843.398392221915,243.1425283600156,95545.0,103309.01279860112,87780.98720139888,15528.025597202242,0.7289408899892881,1213196.85,0.9541007298197319,-0.01978239366963408,0.37329087742164385
2025-06-27,99700,99700,97400,97700,574885,-0.014127144298688221,98140.0,95980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555555555556,1946.097424497464,1863.938198677025,82.15922582043913,95980.0,103152.34454803933,88807.65545196067,14344.689096078655,0.6199050037599021,1199792.75,0.4791535871507808,-0.014127144298688221,0.3798702086008966
2025-06-30,96900,98200,96600,96900,693015,-0.008188331627430934,98340.0,96165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555555555556,1750.0679341236246,1841.164145766345,-91.09621164272039,96165.0,103225.42342550136,89104.57657449864,14120.846851002716,0.5520507026069582,1155278.35,0.5998684213202817,-0.008188331627430934,0.34768301622871384
2025-07-01,97000,100500,97000,98700,1019849,0.018575851393188847,98700.0,96630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.285714285714285,1720.1295250373078,1816.9572216205374,-96.82769658322968,96630.0,103006.30482002662,90253.69517997338,12752.60964005324,0.6623197179578447,1129501.55,0.9029195223326608,0.018575851393188847,0.3124910151377107
2025-07-02,100200,100700,98750,100000,1023366,0.01317122593718345,98480.0,97210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.846153846153854,1780.774594556162,1809.7206962076625,-28.946101651500612,97210.0,102441.84580490632,91978.15419509368,10463.691609812638,0.7666362985491199,1147490.5,0.8918296055610047,0.01317122593718345,0.307531711054643
2025-07-03,100400,101500,99300,100100,774595,0.0009999999999998899,98680.0,97735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.36040609137055,1815.9720183152822,1810.9709606291865,5.001057686095692,97735.0,101707.15306855111,93762.84693144889,7944.3061371022195,0.7976974904019223,1143082.75,0.6776368552495434,0.0009999999999998899,0.30685803688969066
2025-07-04,100500,101500,99100,99100,470300,-0.009990009990009985,98960.0,98035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.921568627450974,1743.081429883663,1797.393054480082,-54.311624596418824,98035.0,101391.86257028635,94678.13742971365,6713.7251405727,0.6586302652701517,1095783.3,0.4291906985623891,-0.009990009990009985,0.28479889907046363
2025-07-07,98900,100000,98300,98600,430089,-0.005045408678102881,99300.0,98200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.340425531914896,1626.2232032790052,1763.1590842398666,-136.93588096086137,98200.0,101305.85186212634,95094.14813787366,6211.703724252671,0.5643945715630646,1044835.45,0.4116332385161702,-0.005045408678102881,0.275664937466913
2025-07-08,98600,99800,97500,99100,643120,0.005070993914807254,99380.0,98430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.53763440860215,1556.0211943633476,1721.731506264563,-165.7103119012154,98430.0,101020.7527863538,95839.2472136462,5181.505572707596,0.6293060463987552,1023122.95,0.6285852545874374,0.005070993914807254,0.2731630991415225
2025-07-09,98300,99800,97400,99600,1037777,0.005045408678102881,99300.0,98565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.80434782608696,1523.1732250492205,1682.0198500214947,-158.84662497227418,98565.0,101100.86899877485,96029.13100122515,5071.737997549702,0.704072055871176,1025404.15,1.0120663155108158,0.005045408678102881,0.25978102219446697
2025-07-10,99900,101200,99300,100100,1142761,0.005020080321285203,99300.0,98650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.80434782608696,1519.965577010531,1649.6089954193021,-129.64341840877114,98650.0,101274.98120294021,96025.01879705979,5249.962405880418,0.7761924539451549,994108.05,1.149533996832638,0.005020080321285203,0.25492399754618
2025-07-11,100100,102100,99800,100800,1087429,0.006993006993007089,99640.0,98830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.03067484662577,1555.9713732536038,1630.8814709861626,-74.91009773255882,98830.0,101529.00566486017,96130.99433513983,5398.01132972035,0.8649492154922861,973143.3,1.1174397439719308,0.006993006993007089,0.25083892897133697
2025-07-14,100200,103300,99600,103000,1173952,0.021825396825396748,100520.0,99105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.42857142857142,1741.9477506719122,1653.0947269233127,88.85302374859953,99105.0,102307.28536813123,95902.71463186877,6404.570736262453,1.1081594162035775,991352.5,1.1841923029396708,0.021825396825396748,0.2606062060668638
2025-07-15,102100,102300,99800,100000,1241921,-0.029126213592232997,100700.0,99125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.625766871165645,1628.4882429435675,1648.1734301273636,-19.685187183796188,99125.0,102345.24843762092,95904.75156237908,6440.496875241835,0.6358590830722328,986808.45,1.2585228673305342,-0.029126213592232997,0.2741817342293567
2025-07-16,99700,100500,99100,99500,668896,-0.0050000000000000044,100680.0,99155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.35135135135135,1481.1511557724443,1614.76897525638,-133.6178194839356,99155.0,102377.60110698437,95932.39889301563,6445.202213968732,0.5535281886505009,969317.45,0.6900690790205005,-0.0050000000000000044,0.2735525101027563
2025-07-17,100000,100700,98500,100200,687922,0.007035175879396949,100700.0,99255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.86524822695036,1404.6773563560419,1572.7506514763124,-168.0732951202706,99255.0,102476.94776003911,96033.05223996089,6443.895520078222,0.6466504224122591,969143.6,0.709824632799515,0.007035175879396949,0.2729928229325014
2025-07-18,100500,101400,99400,99800,586973,-0.003992015968063867,100500.0,99310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.58394160583942,1296.845435373325,1517.5696082557151,-220.72417288239012,99310.0,102529.61096047987,96090.38903952013,6439.221920959739,0.5760961504378327,948573.4,0.6187955512984024,-0.003992015968063867,0.2731568026353741
2025-07-21,99700,100200,99100,99300,422784,-0.00501002004008011,99760.0,99480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.41935483870967,1157.6968313512916,1445.5950528748306,-287.89822152353895,99480.0,102272.1695017165,96687.8304982835,5584.339003433008,0.4677669998384069,926356.8,0.45639433963241804,-0.00501002004008011,0.251955164423287
2025-07-22,99200,99700,97600,97800,646392,-0.015105740181268867,99320.0,99525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.269841269841265,915.826023854228,1339.64124707071,-423.8152232164821,99525.0,102167.0685675791,96882.9314324209,5284.137135158206,0.17355124292239413,913088.8,0.7079180031558814,-0.015105740181268867,0.25669965744130446
2025-07-23,100800,106100,100500,106100,3318750,0.0848670756646217,100640.0,99775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.42307692307692,1377.9976017542067,1347.3125180074096,30.68508374679709,99775.0,103686.0504713534,95863.9495286466,7822.100942706806,1.3086062870228223,940114.4,3.5301554789502214,0.0848670756646217,0.36703666593105877
2025-07-24,107200,109000,104000,105000,2027261,-0.010367577756833168,101600.0,100070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.11483253588517,1636.6448767270776,1405.1789897513434,231.4658869757343,100070.0,104606.68091055681,95533.31908944319,9073.36182111362,1.0433487716237477,983601.85,2.0610585472160308,-0.010367577756833168,0.36087051602174003
2025-07-25,105000,107000,102400,104100,1395349,-0.008571428571428563,102460.0,100390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.91079812206572,1748.8426576690545,1473.9117233348857,274.9309343341688,100390.0,105121.48468965304,95658.51531034696,9462.969379306072,0.8920545286887496,1024625.05,1.3618142558587651,-0.008571428571428563,0.3578726419634986
