Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-08,875895.4375,891766.7025056625,854072.448117214,879863.2537514155,324345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-09,870935.625,890774.7052961276,865975.8549259681,880855.1651480638,368386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-395.6545584045816,-79.13091168091633,-316.5236467236653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005662562319260878,0.0
2025-05-12,813402.3125,869943.6927591463,807450.5882621951,868951.7387195121,285226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5290.683433981845,-1121.441416141102,-4169.242017840743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06605920213678251,0.0
2025-05-13,787022.0625,807578.6350491607,763528.8721564589,779191.0197178611,365779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11169.934736112482,-3131.140080135378,-8038.794655977104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032431983035455136,0.0
2025-05-14,802684.25,816388.5910499014,789958.7815969303,795832.0794750493,279650,829987.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14399.487782099517,-5384.809620528206,-9014.678161571312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01990056981407684,0.0
2025-05-15,804642.0,810515.2979124716,793874.2768276139,806599.8073022425,167131,815737.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16609.493869045516,-7629.746470231669,-8979.747398813848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024390038797945657,0.0
2025-05-16,823240.75,827156.302529402,805620.8566133811,805620.8566133811,162494,806198.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16668.037169427145,-9437.404610070766,-7230.63255935638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023114316677478985,0.0
2025-05-19,821283.0,835966.2754027783,807578.6592217747,814430.8296108873,110989,807774.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16680.12907520274,-10885.949503097161,-5794.1795721055805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023781014241581744,0.0
2025-05-20,797789.8125,831071.8539632255,791916.514712203,829114.0467025421,183787,809927.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18373.61627687642,-12383.482857853012,-5990.1334190234065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02860547156096016,0.0
2025-05-21,832050.75,835966.3026343819,801705.3875756428,802684.2602349563,244255,815801.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16757.970309220487,-13258.38034812651,-3499.5899610939778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04294481699714603,0.0
2025-05-22,826297.6875,836217.2275660265,815386.193427371,830265.5035264106,152390,820132.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15760.110558957676,-13758.726390292744,-2001.384168664932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006914316825025413,0.0
2025-05-23,823321.8125,829273.5364457831,806458.5946536144,826297.6744728915,136055,820148.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15036.100947681,-14014.201301770396,-1021.8996459106038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036014562850873455,0.0
2025-05-26,826297.6875,826297.6875,791579.2972689077,792571.2512755103,169509,821151.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14060.113634599023,-14023.383768336123,-36.72986626290003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003614473653945627,0.0
2025-05-27,879863.25,881847.1581172491,827289.6848928974,835225.317361894,369030,837566.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8862.185669824132,-12991.144148633726,4128.958478809594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06482598621577296,0.0
2025-05-28,825305.75,885814.9456129808,820345.9798677885,876887.359375,320783,836217.2375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.696584955322095,-9040.906658449792,-12201.09665059694,3160.1899921471486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.062006794805897436,0.0
2025-05-29,850104.625,864983.9358226372,826297.7276837807,841177.0385064178,234459,840978.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.79000464987805,-7099.64211496897,-11180.805743471348,4081.163628502378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03004810641389577,0.0
2025-05-30,804474.6875,845144.8011713933,804474.6875,844152.8471794081,436671,837209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.57188847209003,-9137.795767626958,-10772.20374830247,1634.4079806755126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05367567256795014,0.0
2025-06-02,828281.625,832249.4411676647,814394.2684131736,815386.2224550898,156208,837605.9875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.65489292440362,-8731.37645540596,-10364.038289723168,1632.6618343172086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02959314677007785,0.0
2025-06-04,838201.125,838201.125,804474.6892011834,831257.4470414201,213653,829273.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.836762513907075,-7522.15475545614,-9795.661582869763,2273.506827413623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011975999105376722,0.0
2025-06-05,897718.375,917557.4551104973,837209.1806629834,841176.9966850829,512018,843756.0875,831440.63125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.862568440428845,-1741.2214605613844,-8184.773558408087,6443.552097846703,831440.63125,890748.689504875,772132.572995125,118616.11650975002,1.0587583348722431,259640.9,1.9720236680738668,0.0710059295136356,0.0
