,Open,High,Low,Close,Volume,Adj Close,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-19,5902.8798828125,5968.60986328125,5895.68994140625,5963.60009765625,4144010000,5963.60009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-20,5944.66015625,5953.06005859375,5909.259765625,5940.4599609375,4416850000,5940.4599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8459368322655791,-0.36918736645311584,-1.4767494658124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038802294486252054,0.0
2025-05-21,5910.18017578125,5938.3701171875,5830.91015625,5844.60986328125,5254250000,5844.60986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.91730895738965,-2.478811684640423,-8.438497272749228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01613513066101424,0.0
2025-05-22,5841.259765625,5878.080078125,5825.81982421875,5842.009765625,5157050000,5842.009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.10751076068027,-5.604551499848393,-12.502959260831878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00044487103794299543,0.0
2025-05-23,5781.89013671875,5829.509765625,5767.41015625,5802.81982421875,4662820000,5802.81982421875,5878.69990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.660769485001765,-9.815795096879068,-16.844974388122697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006708297825321674,0.0
2025-05-27,5854.06982421875,5924.330078125,5854.06982421875,5921.5400390625,5366380000,5921.5400390625,5870.287890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.587655683359117,-12.570167214175079,-11.017488469184038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204590558452733,0.0
2025-05-28,5925.5400390625,5939.919921875,5881.8798828125,5888.5498046875,4665050000,5888.5498046875,5859.905859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.54283985519669,-14.764701742379403,-8.778138112817286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005571225417268844,0.0
2025-05-29,5939.9599609375,5943.1298828125,5873.7998046875,5912.169921875,4569750000,5912.169921875,5873.41787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.355207395323305,-16.082802872968184,-5.272404522355121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004011194261904327,0.0
2025-05-30,5903.669921875,5922.14013671875,5843.66015625,5911.68994140625,6378540000,5911.68994140625,5887.35390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.436175193267445,-16.753477337028038,-2.6826978562394075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.118516130162234e-05,0.0
2025-06-02,5896.68017578125,5937.39990234375,5861.43017578125,5935.93994140625,4832240000,5935.93994140625,5913.9779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.776692126777561,-16.558120294977943,0.7814281682003816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041020419271569075,0.0
2025-06-03,5938.56005859375,5981.35009765625,5929.0,5970.3701171875,5026680000,5970.3701171875,5923.7439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.98321767188554,-15.243139770359464,5.259922098473924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005800290454605506,0.0
2025-06-04,5978.93994140625,5990.47998046875,5966.10986328125,5970.81005859375,4767050000,5970.81005859375,5940.19599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2953068309798255,-13.253573182483539,7.958266351503713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36874595066439e-05,0.0
2025-06-05,5985.669921875,5999.7001953125,5921.2001953125,5939.2998046875,5091850000,5939.2998046875,5945.62197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.075735323293884,-11.41800561064561,7.342270287351726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005277383403094138,0.0
2025-06-06,5987.06005859375,6016.8701171875,5978.6298828125,6000.35986328125,4355710000,6000.35986328125,5963.35595703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7971044104160683,-8.774983606433274,10.572088016849342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010280683010067904,0.0
2025-06-09,6004.6298828125,6021.31005859375,5994.18017578125,6005.8798828125,4642360000,6005.8798828125,5977.3439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28105269923515,6.818195738061149,-5.656347737534389,12.474543475595539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009199480792858594,0.0
2025-06-10,6009.91015625,6043.009765625,6000.27978515625,6038.81005859375,4882880000,6038.81005859375,5991.03193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.76487242511065,13.301307572889527,-1.8648166754496058,15.166124248339134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00548298940767844,0.0
2025-06-11,6049.3798828125,6059.39990234375,6002.31982421875,6022.240234375,5111550000,6022.240234375,6001.31796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.93162283987485,16.907277504974445,1.8896021606352043,15.01767534433924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002743888954607865,0.0
2025-06-12,6009.89990234375,6045.43017578125,6003.8798828125,6045.259765625,4669500000,6045.259765625,6022.5099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.85091918384555,21.37610797877278,5.7869033242627195,15.589204654510059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038224199557175265,0.0
2025-06-13,6000.56005859375,6026.16015625,5963.2099609375,5976.97021484375,5258910000,5976.97021484375,6017.83203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.37688220576172,19.186126572802095,8.466747973970595,10.7193785988315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011296379879250695,0.0
2025-06-16,6004.0,6050.830078125,6004.0,6033.10986328125,5111710000,6033.10986328125,6023.27802734375,5948.324951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.56473637530439,21.73006037142568,11.119410453461612,10.610649917964068,5948.324951171875,6085.03017060429,5811.61973173946,273.4104388648302,0.8101012253274291,4918257000.0,1.0393336501122248,0.009392659896159117,0.0
2025-06-17,6012.14990234375,6023.25,5974.7998046875,5982.72021484375,4955700000,5982.72021484375,6012.06005859375,5949.28095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.98456154819661,19.455847826940953,12.78669792815748,6.669149898783473,5949.28095703125,6086.7015032344125,5811.860410828088,274.8410924063246,0.621667606250819,4958841500.0,0.9993664850953595,-0.008352184790166306,0.13172368982866195
2025-06-18,5987.93017578125,6018.25,5971.89013671875,5980.8701171875,5106470000,5980.8701171875,6003.78603515625,5951.30146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.44233926325592,17.30475217048479,13.690308776622942,3.6144433938618477,5951.30146484375,6089.362738041038,5813.240191646462,276.1225463945757,0.6070852515659328,4993322500.0,1.022659762112301,-0.0003092402101070313,0.1308663260129382
2025-06-20,5999.669921875,6018.2001953125,5952.56005859375,5967.83984375,7451500000,5967.83984375,5988.30205078125,5957.462963867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.693609129781336,14.382763650663946,13.828799751431145,0.5539638992328015,5957.462963867188,6086.157204300718,5828.768723433657,257.38848086706093,0.5403160228764001,5103185000.0,1.4601665430510553,-0.002178658486505891,0.11605761258689717
2025-06-23,5969.669921875,6028.77001953125,5943.22998046875,6025.169921875,5597000000,6025.169921875,5997.9419921875,5966.6209716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.859464207290294,16.50288983284645,14.363617767714207,2.1392720651322428,5966.6209716796875,6086.487471771355,5846.75447158802,239.7330001833343,0.744225660007021,5125182500.0,1.092058673032619,0.009606504133156335,0.11974426862034036
2025-06-24,6061.2099609375,6101.759765625,6059.25,6092.18017578125,5443690000,6092.18017578125,6009.7560546875,5981.0889892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.55542481199602,23.321437554053773,16.15518172498212,7.166255829071652,5981.0889892578125,6086.715662456495,5875.46231605913,211.25334639736502,1.025867108937407,5164226000.0,1.054115369854069,0.01112172017970181,0.120117552588274
2025-06-25,6104.22998046875,6108.509765625,6080.08984375,6092.16015625,5171110000,6092.16015625,6031.64404296875,5989.6199951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.51885194785831,28.396236204313027,18.603392620848304,9.792843583464723,5989.6199951171875,6102.319770842495,5876.92021939188,225.39955145061504,0.9549261987115513,5154462500.0,1.0032297256988483,-3.2861029504172024e-06,0.09967915499544182
