,Open,High,Low,Close,Volume,Adj Close,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-12,18674.560546875,18710.220703125,18472.7109375,18708.33984375,10717670000,18708.33984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,18761.23046875,19065.9609375,18745.5,19010.08984375,9242230000,19010.08984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.071225071227673,4.814245014245535,19.256980056982137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129170333668563,0.0
2025-05-14,19074.720703125,19174.55078125,19023.609375,19146.810546875,11744820000,19146.810546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.56262587408128,14.563921186212685,38.998704687868596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007192007205055306,0.0
2025-05-15,19031.240234375,19207.220703125,18967.779296875,19112.3203125,10546350000,19112.3203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.30666620111515,26.312470189193178,46.99419601192197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001801356643215457,0.0
2025-05-16,19151.5390625,19213.419921875,19038.48046875,19211.099609375,10509820000,19211.099609375,19037.73203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8200700120251,40.21399015375957,55.60607985826553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005168357125659773,0.0
2025-05-19,18937.419921875,19227.220703125,18937.419921875,19215.4609375,13080030000,19215.4609375,19139.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.7147223067659,54.714136584360844,58.00058572240506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000227021264460614,0.0
2025-05-20,19132.060546875,19186.689453125,19015.630859375,19142.7109375,9047100000,19142.7109375,19165.68046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.86335618660814,67.5439805048103,51.31937568179784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00378601378528598,0.0
2025-05-21,19002.939453125,19241.41015625,18799.19921875,18872.640625,11112460000,18872.640625,19110.846484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.78202325843449,74.19158905553515,26.590434202899345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01410825840612473,0.0
2025-05-22,18888.05078125,19061.109375,18840.33984375,18925.740234375,8289710000,18925.740234375,19073.53046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.70308996560925,77.29388923754998,12.409200728059275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028135760347527405,0.0
2025-05-23,18622.380859375,18841.51953125,18599.689453125,18737.2109375,8730370000,18737.2109375,18978.752734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.96138247874478,74.82738788578894,-9.866005407044156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009961528296397737,0.0
2025-05-27,19014.439453125,19210.94921875,18961.689453125,19199.16015625,93974540000,19199.16015625,18975.492578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.68720309469427,76.19935092757001,5.4878521671242595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024654107822710714,0.0
2025-05-28,19232.619140625,19276.830078125,19084.380859375,19100.939453125,8087530000,19100.939453125,18967.13828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.02530044371451,78.16454083079891,7.860759612915601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00511588539944674,0.0
2025-05-29,19389.390625,19389.390625,19091.5390625,19175.869140625,11016850000,19175.869140625,19027.783984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.42104636737713,81.41584193811457,13.005204429262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003922827339664758,0.0
2025-05-30,19131.220703125,19157.779296875,18847.740234375,19113.76953125,9042260000,19113.76953125,19065.38984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.96907166948222,84.1264878843881,10.84258378509412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032384247576783265,0.0
2025-06-02,19063.060546875,19252.7109375,18985.30078125,19242.609375,7779940000,19242.609375,19166.46953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.446900801664285,104.59398989284455,88.2199882860794,16.374001606765148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006740682079448224,0.0
2025-06-03,19288.66015625,19459.279296875,19224.69921875,19398.9609375,7990230000,19398.9609375,19206.4296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.56031144915084,123.41541525425055,95.25907367971364,28.15634157453691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008125278617521214,0.0
2025-06-04,19434.939453125,19493.44921875,19359.08984375,19460.490234375,7695660000,19460.490234375,19278.33984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.881078355039634,141.66342273535702,104.53994349084232,37.1234792445147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031717831214381764,0.0
2025-06-05,19518.19921875,19610.509765625,19226.220703125,19298.44921875,8782360000,19298.44921875,19302.855859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.91481158290167,141.41954788881776,111.91586437043742,29.503683518380342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008326666680717576,0.0
2025-06-06,19526.990234375,19593.1796875,19464.83984375,19529.94921875,7291590000,19529.94921875,19386.091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.86788966418655,158.08409554023092,121.14951060439613,36.93458493583479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011995782530291654,0.0
2025-06-09,19573.140625,19637.560546875,19531.099609375,19591.240234375,9538700000,19591.240234375,19455.81796875,19159.69306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.01927528527591,174.22814870113507,131.76523822374392,42.46291047739115,19159.69306640625,19630.914444802216,18688.471688010282,942.4427567919338,0.9579027902316714,13711011000.0,0.6956963275720514,0.003138309011380125,0.0
2025-06-10,19620.109375,19730.380859375,19539.08984375,19714.990234375,11221560000,19714.990234375,19519.023828125,19210.0255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.40734192297872,194.76291230354036,144.3647730397032,50.39813926383715,19210.0255859375,19693.152136456378,18726.89903541862,966.253101037757,1.0226008050013664,13736205500.0,0.8169330314692802,0.006316598567499998,0.14407061104232652
2025-06-11,19779.359375,19800.4609375,19551.349609375,19615.880859375,10214190000,19615.880859375,19550.101953125,19240.31513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.92891713814157,200.72572096863223,155.63696262548902,45.08875834314321,19240.31513671875,19746.091989401237,18734.53828403626,1011.553705364975,0.871276107896473,13784803500.0,0.7409746537192206,-0.005027107486322402,0.1372540991895978
