,Open,High,Low,Close,Volume,Adj Close,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-13,731.1099853515625,735.8499755859375,730.760009765625,731.8800048828125,1200,731.8800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-14,732.2000122070312,739.0499877929688,726.510009765625,739.0499877929688,1000,739.0499877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719644486734978,0.11439288973469958,0.45757155893879825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009796664565667745,0.0
2025-05-15,738.1500244140625,738.280029296875,732.5900268554688,733.22998046875,1100,733.22998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5492925413014973,0.20137282004805912,0.3479197212534382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007874984669980267,0.0
2025-05-16,734.3800048828125,734.3800048828125,722.989990234375,725.0700073242188,1100,725.0700073242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125668121773856,0.1359646316836761,-0.2616327534575321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011128804552310578,0.0
2025-05-19,721.27001953125,721.3099975585938,710.469970703125,713.75,1300,713.75,728.59599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5560718680322907,-0.2024426682595173,-1.3536291997727734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015612295654034658,0.0
2025-05-20,719.3599853515625,722.1699829101562,715.1199951171875,715.5499877929688,1000,715.5499877929688,725.3299926757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5154367812682494,-0.6650414908612637,-1.8503952904069858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025218743158932355,0.0
2025-05-21,720.6400146484375,726.6799926757812,719.9600219726562,723.6199951171875,800,723.6199951171875,722.243994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.594648744050801,-1.0509629414991712,-1.5436858025516296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011278048301153198,0.0
2025-05-22,720.9600219726562,720.9600219726562,714.7100219726562,717.6699829101562,1100,717.6699829101562,719.1319946289062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1017856004209534,-1.4611274732835278,-1.6406581271374256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008222564670932964,0.0
2025-05-23,720.5,720.5,713.219970703125,715.97998046875,1000,715.97998046875,717.3139892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.598582071815372,-1.8886183929898968,-1.709963678825475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002354846212953343,0.0
2025-05-26,718.47998046875,726.9299926757812,716.8599853515625,725.27001953125,800,725.27001953125,719.6179931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2057148569897436,-2.152037685789866,-1.0536771711998774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012975277683627162,0.0
