,Open,High,Low,Close,Volume,Adj Close,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-12,37697.28125,37726.44140625,37417.390625,37644.26171875,142900000,37644.26171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,38149.53125,38494.05859375,38124.19921875,38183.26171875,177400000,38183.26171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.99715099715104,8.599430199430207,34.39772079772083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014318251318806707,0.0
2025-05-14,38199.03125,38325.87890625,37851.80078125,38128.12890625,152100000,38128.12890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.79632242229854,21.238808644003875,50.55751377829467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001443900023683109,0.0
2025-05-15,37832.359375,37876.83984375,37633.359375,37755.51171875,134800000,37755.51171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.817136103854864,29.75447413597407,34.06266196788079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009772763526272099,0.0
2025-05-16,37748.578125,37786.4296875,37479.2109375,37753.71875,128100000,37753.71875,37892.9765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.69534719506191,35.14264874779164,21.552698447270274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.748892726857967e-05,0.0
2025-05-19,37572.359375,37656.23046875,37445.9296875,37498.62890625,107600000,37498.62890625,37863.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.120449862581154,34.138208970749545,-4.017759108168391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006756681254081798,0.0
2025-05-20,37723.6015625,37921.80859375,37455.69921875,37529.48828125,125800000,37529.48828125,37733.0953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.418124888565217,29.59419215431268,-18.176067265747463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008229467556575276,0.0
2025-05-21,37590.1484375,37659.94140625,37298.98046875,37298.98046875,121300000,37298.98046875,37567.265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.75290251145634,19.324773221158875,-41.07767573261522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006142045177183086,0.0
2025-05-22,36931.890625,37100.44921875,36855.828125,36985.87109375,110900000,36985.87109375,37413.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.47108890736126,0.9656007954548471,-73.43668970281611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008394582668615591,0.0
2025-05-23,37161.73828125,37373.91015625,37111.62890625,37160.46875,105300000,37160.46875,37294.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.45366021290101,-18.71825140621633,-78.73540880668469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004720658215874973,0.0
2025-05-26,37209.26171875,37531.53125,37167.01171875,37531.53125,89900000,37531.53125,37301.26796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.31588946694683,-32.23777901836243,-54.0781104485844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009985409562413006,0.0
