,Open,High,Low,Close,Volume,Adj Close,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-12,20996.94921875,21176.130859375,20996.94921875,21129.5390625,2687300,21129.5390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,21474.01953125,21626.279296875,21330.140625,21330.140625,3601900,21330.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.002403846156085,3.200480769231217,12.801923076924869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009493892029855955,0.0
2025-05-14,21552.419921875,21782.869140625,21552.419921875,21782.869140625,3656500,21782.869140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.47263142395241,15.454910900175456,49.01772052377695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021224825639188705,0.0
2025-05-15,21776.650390625,21821.009765625,21674.3203125,21730.25,3543000,21730.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.51561182480145,31.867051085100655,65.6485607397008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002415620287910758,0.0
2025-05-16,21731.880859375,21854.5,21697.849609375,21843.689453125,3714600,21843.689453125,21563.29765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.3419988630776,51.76204064069605,79.57995822238155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005220347355644694,0.0
2025-05-19,21786.330078125,21786.330078125,21496.689453125,21523.830078125,3401200,21523.830078125,21642.155859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.83153145587858,67.57593880373256,63.25559265214602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014643102104449635,0.0
2025-05-20,21631.609375,21746.560546875,21517.099609375,21526.029296875,2908900,21526.029296875,21681.33359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.11607123422073,79.8839652898302,49.232105944390526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010217599479345196,0.0
2025-05-21,21603.580078125,21879.240234375,21603.580078125,21803.91015625,3078500,21803.91015625,21685.541796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.4677755550365,93.60072734287147,54.86704821216503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012909062583843056,0.0
2025-05-22,21733.8203125,21733.8203125,21585.310546875,21670.9609375,3137400,21670.9609375,21673.683984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.33179111345453,105.14694009698809,46.18485101646644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0060974943391927106,0.0
2025-05-23,21766.240234375,21798.880859375,21559.779296875,21652.240234375,3065000,21652.240234375,21635.394140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.35770970778685,114.18909401914784,36.16861568863901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008638612371177912,0.0
