,Open,High,Low,Close,Volume,Adj Close,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-05-12,19.84000015258789,20.440000534057617,18.139999389648438,18.389999389648438,0.0,18.389999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-13,18.690000534057617,18.850000381469727,17.649999618530273,18.219999313354492,0.0,18.219999313354492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013561259647381974,-0.002712251929476395,-0.01084900771790558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009244158887228515,0.0
2025-05-14,18.100000381469727,18.81999969482422,18.059999465942383,18.6200008392334,0.0,18.6200008392334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007877319726318888,-0.0005943375983173385,0.008471657324636226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021953981391520827,0.0
2025-05-15,19.190000534057617,19.3799991607666,17.770000457763672,17.829999923706055,0.0,17.829999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03843585858109577,-0.008162641794873025,-0.030273216786222745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0424275445714678,0.0
2025-05-16,17.959999084472656,17.959999084472656,17.149999618530273,17.239999771118164,0.0,17.239999771118164,18.059999847412108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.121348635996128,-0.030799840635124018,-0.09054879536100398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03309030595134499,0.0
2025-05-19,19.84000015258789,19.920000076293945,17.920000076293945,18.139999389648438,0.0,18.139999389648438,18.00999984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11313105743858287,-0.04726608399581579,-0.06586497344276708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05220415490016572,0.0
2025-05-20,18.459999084472656,18.68000030517578,17.700000762939453,18.09000015258789,0.0,18.09000015258789,17.98400001525879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10939208394745847,-0.05969128398614433,-0.04970079996131414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027562976153725494,0.0
2025-05-21,18.770000457763672,21.049999237060547,17.770000457763672,20.8700008392334,0.0,20.8700008392334,18.43400001525879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11655038121471861,-0.024442950945971747,0.14099333216069035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1536761007847649,0.0
2025-05-22,20.6200008392334,22.06999969482422,19.639999389648438,20.280000686645508,0.0,20.280000686645508,18.92400016784668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24517708241778635,0.02948105572677988,0.21569602669100646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02827025054444432,0.0
2025-05-23,20.139999389648438,25.530000686645508,19.829999923706055,22.290000915527344,0.0,22.290000915527344,19.934000396728514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503500845693754,0.1242850137201747,0.3792158319735793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09911243396581493,0.0
2025-05-27,20.6299991607666,21.010000228881836,18.950000762939453,18.959999084472656,0.0,18.959999084472656,20.09800033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4345121854333094,0.18633044806280163,0.24818173737050775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14939442325168273,0.0
2025-05-28,19.209999084472656,19.43000030517578,18.68000030517578,19.309999465942383,0.0,19.309999465942383,20.342000198364257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40342979331877515,0.22975031711399635,0.1736794762047788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018459936622906348,0.0
2025-05-29,18.25,20.200000762939453,18.110000610351562,19.18000030517578,0.0,19.18000030517578,20.004000091552733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3641096978594085,0.2566221932630788,0.10748750459632972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0067322198012426115,0.0
2025-05-30,19.610000610351562,20.549999237060547,18.56999969482422,18.56999969482422,0.0,18.56999969482422,19.661999893188476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804929396468516,0.26139634253983335,0.019096597107018276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03180399377715093,0.0
2025-06-02,19.809999465942383,20.450000762939453,18.360000610351562,18.360000610351562,0.0,18.360000610351562,18.87599983215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8838157599253,0.19503267003923241,0.24812360803971317,-0.05309093800048076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01130851308151537,0.0
2025-06-03,18.829999923706055,19.209999084472656,17.639999389648438,17.690000534057617,0.0,17.690000534057617,18.62200012207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.02386788008712,0.07240672428856954,0.21298023128948446,-0.14057350700091492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03649237766997637,0.0
2025-06-04,17.68000030517578,18.06999969482422,17.40999984741211,17.610000610351562,0.0,17.610000610351562,18.28200035095215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.142092933762555,-0.030874642783672357,0.16420925647485313,-0.19508389925852548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004522324550077617,0.0
2025-06-05,17.68000030517578,18.799999237060547,17.079999923706055,18.479999542236328,0.0,18.479999542236328,18.142000198364258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.467728226138256,-0.04203962079209944,0.12295948102146263,-0.1649991018135621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04940368550432428,0.0
2025-06-06,18.15999984741211,18.350000381469727,16.649999618530273,16.770000457763672,0.0,16.770000457763672,17.78200035095215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.35549564039335,-0.18671821006384803,0.06102394280440051,-0.24774215286824855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0925324202830431,0.0
