Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-04-14,3262.80810546875,3272.719970703125,3244.73291015625,3251.97802734375,471400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,3267.662109375,3268.985107421875,3246.3369140625,3260.68505859375,396700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872139868230988,0.07744279736461977,0.30977118945847903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014876767953697634,0.0
2025-04-16,3276.00390625,3276.0048828125,3233.791015625,3267.6650390625,429500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3516165592709513,0.3322775497458861,1.0193390095250652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025528333700926,0.0
2025-04-17,3280.341064453125,3285.9150390625,3258.14501953125,3261.718017578125,382000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4377837127563,0.7533787823479688,1.684404930408331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001323917286804921,0.0
2025-04-18,3276.72998046875,3283.090087890625,3262.39208984375,3270.35302734375,358800,3272.709033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.972924683682322,1.1972879626148396,1.7756367210674826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011008257719009595,0.0
2025-04-21,3291.43408203125,3298.639892578125,3270.012939453125,3273.137939453125,379300,3278.434228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.531291954394419,1.8640887609707555,2.6672031934236635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004487431570542988,0.0
2025-04-22,3299.757080078125,3311.153076171875,3288.33203125,3289.166015625,403200,3284.85322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.364539182146018,2.7641788452058083,3.6003603369402097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025286844091187977,0.0
2025-04-23,3296.35498046875,3312.19189453125,3293.06298828125,3308.15087890625,411600,3288.9234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.456921067731855,3.702727289711018,3.754193778020837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010310151707575432,0.0
2025-04-24,3297.2880859375,3313.509033203125,3286.236083984375,3295.14892578125,392800,3292.312841796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.302232427817671,4.6226283173323495,3.6796041104853217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028307190041076957,0.0
2025-04-25,3295.06005859375,3305.261962890625,3288.7548828125,3300.39208984375,411000,3295.978857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.692166697582707,5.436535993382421,3.2556307042002857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006757150984932903,0.0
2025-04-28,3288.4150390625,3296.931884765625,3279.876953125,3292.055908203125,410700,3295.375048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.368527696214642,6.022934333948865,2.3455933622657765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020166611269859525,0.0
2025-04-29,3286.655029296875,3294.98193359375,3277.626953125,3281.445068359375,389000,3292.754638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.879196899637918,6.394186847086677,1.4850100525512415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005352152160594814,0.0
2025-04-30,3279.031005859375,3292.199951171875,3277.550048828125,3284.0810546875,435800,3289.28984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797842446910636,6.474917967051469,0.32292447985916706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002319690800993812,0.0
2025-05-06,3316.114013671875,3316.447998046875,3286.989013671875,3295.25,474400,3293.055029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.831347787258892,6.9462039310929535,1.8851438561659384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011309136066794068,0.0
2025-05-07,3342.6650390625,3356.68798828125,3324.80908203125,3354.97412109375,511200,3302.576025390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.62058609869165,12.441938352456873,8.045350815365737,4.396587537091136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008006668432134267,0.0
2025-05-08,3351.99609375,3359.73095703125,3327.902099609375,3331.205078125,428400,3315.292236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.26387013391354,15.873317791970749,9.610944210686739,6.26237358128401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027915015649060404,0.0
2025-05-09,3341.9990234375,3351.219970703125,3335.126953125,3350.405029296875,398900,3326.36103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16876182437869,17.583340885841153,11.205423545717622,6.377917340123531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002982423019865732,0.0
2025-05-12,3369.2451171875,3372.471923828125,3344.26904296875,3352.969970703125,418200,3344.403857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.88032052136018,20.896200180060987,13.143578872586296,7.752621307474691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152633665935438,0.0
2025-05-13,3374.87109375,3386.23388671875,3370.251953125,3386.23388671875,426200,3356.1552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.39297519786365,23.702407726898855,15.255344643448808,8.447063083450047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016698032843618371,0.0
2025-05-14,3403.947998046875,3417.31396484375,3368.077880859375,3374.235107421875,464900,3368.411865234375,3309.9189453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.99573720641224,27.95041560378013,17.794358835515073,10.156056768265056,3309.9189453125,3390.1669223054746,3229.6709683195254,160.4959539859492,1.0858655648260036,419700.0,1.1076959733142722,0.008615708123111077,0.0
2025-05-15,3380.821044921875,3402.865966796875,3378.02099609375,3398.427001953125,424100,3374.17685546875,3315.8195922851564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.26208021802664,29.115218499014645,20.05853076821499,9.056687730799656,3315.8195922851564,3398.790834492479,3232.848350077834,165.94248441464515,0.8917107355956444,417335.0,1.0162099991613451,-0.0067941558267839985,0.07136378542548381
2025-05-16,3367.4619140625,3380.2900390625,3356.660888671875,3374.7060546875,395400,3379.26943359375,3320.8095825195314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.72467581784943,28.630330345541097,21.772890683680213,6.857439661860884,3320.8095825195314,3403.590033550594,3238.029131488469,165.56090206212502,0.7817835066239528,417270.0,0.947587892731325,-0.003951445723352043,0.07422150412977635
2025-05-19,3367.5830078125,3373.59912109375,3356.64794921875,3365.882080078125,403100,3378.93701171875,3325.388537597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59348878134624,27.933820548995755,23.005076656743324,4.928743892252431,3325.388537597656,3407.8643492885244,3242.9127259067877,164.95162338173668,0.755799060049991,415950.0,0.9691068638057458,3.595994641969469e-05,0.07429270870962076
2025-05-20,3380.47802734375,3387.803955078125,3369.962890625,3371.68896484375,405500,3380.0583984375,3330.3953857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.29485876571397,28.098450379848146,24.02375140136429,4.074698978483855,3330.3953857421875,3413.5122206557767,3247.2785508285983,166.23366982717835,0.8012785656091804,417125.0,0.9721306562780941,0.0038291615978982563,0.07479374659124052
2025-05-21,3387.573974609375,3394.75390625,3380.208984375,3380.208984375,412500,3376.78359375,3335.9375854492187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.50926525116952,28.473282076151463,24.91365753632173,3.559624539829734,3335.9375854492187,3418.7691010870403,3253.106069811397,165.66303127564333,0.8116953055999467,419810.0,0.9825873609490008,0.002099095810778273,0.0741692271251813
2025-05-22,3380.18896484375,3390.593017578125,3376.23291015625,3381.864990234375,394200,3376.657177734375,3340.3753295898437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.59954400868683,27.853354197921362,25.50159686864166,2.351757329279703,3340.3753295898437,3422.676172099148,3258.0744870805393,164.6016850186088,0.7418786615053855,420555.0,0.937332810215073,-0.0021800290771440967,0.07459098140888341
