Date,Close,High,Low,Open,Volume,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-04-14,20954.830078125,21048.330078125,20698.91015625,20802.419921875,74524500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,21253.69921875,21288.119140625,21042.26953125,21076.060546875,66922800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.841412927351485,4.768282585470297,19.07313034188119,0.0,0.0,0.0,0.0,0.0,0.0,0.014262541834543008,0.0
2025-04-16,21311.01953125,21315.9609375,20956.380859375,21117.779296875,62776400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.82144612766933,13.178915293910105,33.642530833759224,0.0,0.0,0.0,0.0,0.0,0.0,0.00269695698193706,0.0
2025-04-17,21205.859375,21436.66015625,21142.259765625,21433.55078125,66669900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.903323536716925,21.72379694247147,34.17952659424546,0.0,0.0,0.0,0.0,0.0,0.0,-0.004934543656899937,0.0
2025-04-22,21293.529296875,21296.91015625,21044.609375,21150.5390625,62154800,21203.7875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.37529164453008,31.254095882883192,38.12119576164689,0.0,0.0,0.0,0.0,0.0,0.0,0.004134231031370339,0.0
2025-04-23,21961.970703125,22043.75,21722.83984375,21801.66015625,88573200,21405.215625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.46261198091088,51.49579910248873,80.96681287842215,0.0,0.0,0.0,0.0,0.0,0.0,0.0313917621137656,0.0
2025-04-24,22064.509765625,22081.51953125,21731.7890625,21890.099609375,62636800,21567.377734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.56020854667076,78.90868099132514,109.65152755534562,0.0,0.0,0.0,0.0,0.0,0.0,0.004668937222715108,0.0
2025-04-25,22242.44921875,22318.359375,22078.33984375,22210.509765625,70917400,21753.663671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.5570829309945,112.03836137925902,132.5187215517355,0.0,0.0,0.0,0.0,0.0,0.0,0.008064509704277079,0.0
2025-04-28,22271.669921875,22443.41015625,22255.330078125,22339.890625,55883200,21966.82578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.97329891807385,147.225348887022,140.74795003105186,0.0,0.0,0.0,0.0,0.0,0.0,0.0013137358587456127,0.0
2025-04-29,22425.830078125,22455.6796875,22319.279296875,22377.169921875,75547100,22193.2859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0047820399377,183.98123551760514,147.02354652233257,0.0,0.0,0.0,0.0,0.0,0.0,0.00692180500118611,0.0
